Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x1130,137798.88,10609.79,6.0,,13.0,0.0,,23.0,12.0,9.25,2.0,Standard,1056.3,30.05,27 Years and 5 Months,No,988.45,1156.953782699478,Low_spent_Medium_value_payments,282.87,2023-07-01
CUS_0x11d1,11731.58,828.63,8.0,3.0,6.0,2.0,"Credit-Builder Loan, and Student Loan",18.0,7.0,7.48,2.0,,289.73,27.51,19 Years and 2 Months,Yes,15.36,32.777846317329605,Low_spent_Medium_value_payments,314.73,2023-07-01
CUS_0x11eb,62835.08,5464.26,0.0,4.0,1.0,2.0,"Home Equity Loan, and Debt Consolidation Loan",9.0,12.0,2.02,4.0,,306.85,34.58,33 Years and 3 Months,No,67.38,230.0712676542581,High_spent_Medium_value_payments,498.97,2023-07-01
CUS_0x120c,29135.38,2138.95,10.0,7.0,21.0,9.0,"Mortgage Loan, Credit-Builder Loan, Mortgage Loan, Credit-Builder Loan, Home Equity Loan, Not Specified, Not Specified, Personal Loan, and Payday Loan",21.0,25.0,8.04,7.0,Bad,1833.81,24.81,9 Years and 5 Months,Yes,201.0,158.83794732834158,Low_spent_Small_value_payments,144.05,2023-07-01
CUS_0x124a,16861.34,1453.11,2.0,6.0,2.0,3.0,"Mortgage Loan, Payday Loan, and Not Specified",0.0,8.0,10.77,2.0,Good,408.71,37.59,23 Years and 8 Months,No,41.57,118.2143745716728,Low_spent_Large_value_payments,255.52,2023-07-01
CUS_0x12ce,9795.07,586.26,7.0,8.0,29.0,6.0,"Debt Consolidation Loan, Auto Loan, Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, and Payday Loan",62.0,14.0,4.01,15.0,Bad,2065.27,29.04,5 Years and 11 Months,Yes,42.61,24.425080540114738,Low_spent_Small_value_payments,281.6,2023-07-01
CUS_0x13b0,73417.48,6001.12,7.0,4.0,20.0,4.0,"Auto Loan, Debt Consolidation Loan, Auto Loan, and Home Equity Loan",30.0,19.0,14.53,5.0,Standard,2402.05,29.15,11 Years and 11 Months,Yes,163.71,101.07830646433807,High_spent_Large_value_payments,575.32,2023-07-01
CUS_0x13d6,94158.69,7743.56,1.0,4.0,3.0,4.0,"Credit-Builder Loan, Mortgage Loan, Student Loan, and Payday Loan",25.0,5.0,9.52,4.0,Good,1415.3,30.94,33 Years and 3 Months,No,204.34,323.5919943178024,High_spent_Small_value_payments,506.42,2023-07-01
CUS_0x13de,14192.12,1401.68,4.0,3.0,19.0,4.0,"Personal Loan, Student Loan, Student Loan, and Home Equity Loan",12.0,8.0,16.33,8.0,Standard,1483.6,38.5,17 Years and 3 Months,NM,45.19,58.02528806179473,Low_spent_Small_value_payments,326.96,2023-07-01
CUS_0x13ec,61934.52,5308.21,7.0,5.0,15.0,0.0,,26.0,9.0,15.31,5.0,Standard,107.55,27.03,33 Years and 4 Months,Yes,0.0,117.10661618566105,High_spent_Medium_value_payments,663.71,2023-07-01
CUS_0x13f6,152252.24,11346.17,2.0,4.0,1.0,2.0,"Debt Consolidation Loan, and Not Specified",14.0,4.0,6.5,6.0,Good,522.89,38.06,31 Years and 3 Months,NM,1568.86,309.51105745956835,High_spent_Medium_value_payments,998.41,2023-07-01
CUS_0x14a3,119016.88,9918.07,8.0,3.0,8.0,0.0,,27.0,13.0,2.77,5.0,Standard,839.78,29.0,32 Years and 6 Months,No,0.0,__10000__,High_spent_Medium_value_payments,926.37,2023-07-01
