Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x1026,170614.28,14463.86,2.0,6.0,9.0,2.0,"Payday Loan, and Auto Loan",0.0,5.0,0.73,3.0,Good,849.69,31.76,20 Years and 8 Months,No,208.91,184.27787149576235,High_spent_Medium_value_payments,1303.2,2023-10-01
CUS_0x109b,31641.93,2610.83,4.0,6.0,7.0,3.0,"Personal Loan, Student Loan, and Personal Loan",25.0,12.0,3.3699999999999988,1.0,Standard,583.6,40.35,20 Years and 5 Months,No,60.34,84.09047925785762,Low_spent_Small_value_payments,344.66,2023-10-01
CUS_0x10ff,16341.08,1292.76,4.0,4.0,6.0,2.0,"Auto Loan, and Student Loan",8.0,20.0,_,4.0,Standard,684.05,39.41,17 Years and 1 Months,No,16.96,151.95412763565508,Low_spent_Small_value_payments,250.36,2023-10-01
CUS_0x1100,43062.54,3607.54,6.0,10.0,23.0,2.0,"Mortgage Loan, and Student Loan",55.0,20.0,19.05,13.0,Standard,2169.75,30.04,15 Years and 3 Months,Yes,47.5,71.94658528758634,High_spent_Medium_value_payments,491.31,2023-10-01
CUS_0x112f,75506.42,6050.2,1.0,4.0,5.0,1.0,Auto Loan,1.0,2.0,3.44,7.0,Good,1069.19,39.85,23 Years and 8 Months,No,60.9,278.2980758592782,Low_spent_Small_value_payments,555.82,2023-10-01
CUS_0x1134,15279.54,1517.79,0.0,5.0,8.0,3.0,"Credit-Builder Loan, Mortgage Loan, and Debt Consolidation Loan",1.0,4.0,6.99,7.0,Good,168.35,27.6,30 Years and 10 Months,No,76.54,17.680099486789082,,349.81,2023-10-01
CUS_0x1168,76440.52,6647.04,0.0,4.0,9.0,2.0,"Mortgage Loan, and Student Loan",7.0,2.0,10.85,4.0,Good,998.47,36.4,20 Years and 9 Months,No,96.75,547.8585912822699,Low_spent_Medium_value_payments,300.1,2023-10-01
CUS_0x12e7,46874.85,4082.24,9.0,5.0,15.0,,"Payday Loan, and Personal Loan",50.0,21.0,8.0,9.0,Bad,1913.66,34.62,17 Years and 10 Months,Yes,70.54,146.9862280573053,Low_spent_Large_value_payments,460.7,2023-10-01
CUS_0x138e,85918.76,7210.9,3.0,4.0,2.0,4.0,"Credit-Builder Loan, Home Equity Loan, Personal Loan, and Home Equity Loan",19.0,13.0,3.46,2.0,Good,351.62,25.23,26 Years and 0 Months,No,276.11,47.314427205140525,High_spent_Large_value_payments,637.66,2023-10-01
CUS_0x147c,39357.45,3125.79,3.0,4.0,6.0,3.0,"Payday Loan, Payday Loan, and Home Equity Loan",10.0,4.0,8.16,2.0,,1170.76,35.48,25 Years and 4 Months,No,85.72,83.45784436430965,Low_spent_Large_value_payments,413.4,2023-10-01
CUS_0x1498,53869.44,4359.12,9.0,9.0,24.0,9.0,"Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Student Loan, Mortgage Loan, Home Equity Loan, Personal Loan, Personal Loan, and Home Equity Loan",20.0,18.0,24.05,12.0,Bad,4404.08,26.44,9 Years and 10 Months,Yes,253.21,__10000__,High_spent_Medium_value_payments,292.02,2023-10-01
CUS_0x14f5,36348.06,3265.0,6.0,5.0,32.0,9.0,"Payday Loan, Not Specified, Auto Loan, Payday Loan, Credit-Builder Loan, Credit-Builder Loan, Student Loan, Debt Consolidation Loan, and Payday Loan",50.0,22.0,5.07,9.0,Bad,4974.81,33.61,3 Years and 11 Months,Yes,149.4,305.48160419168886,Low_spent_Medium_value_payments,151.62,2023-10-01
CUS_0x16a5,10027.07,896.59,8.0,5.0,9.0,3.0,"Auto Loan, Mortgage Loan, and Home Equity Loan",9.0,17.0,1.77,5.0,Standard,168.72,23.31,21 Years and 2 Months,No,73384.0,32.743223333030315,Low_spent_Medium_value_payments,323.55,2023-10-01
CUS_0x16d3,34204.91,3056.41,4.0,5.0,10.0,3.0,"Credit-Builder Loan, Home Equity Loan, and Student Loan",22.0,,_,4.0,Good,1319.24,28.15,32 Years and 9 Months,No,73.35,115.02941747170291,High_spent_Medium_value_payments,367.27,2023-10-01
CUS_0x1748,179987.28,14816.94,5.0,5.0,8.0,4.0,"Mortgage Loan, Auto Loan, Personal Loan, and Credit-Builder Loan",14.0,8.0,-3.46,1.0,Good,741.28,43.96,21 Years and 2 Months,No,417.84,135.95535207562259,High_spent_Large_value_payments,1167.89,2023-10-01
CUS_0x1773,17663.54,1767.96,0.0,3.0,3.0,1.0,Auto Loan,6.0,9.0,4.39,1.0,Good,1327.57,32.74,18 Years and 5 Months,No,10.63,70.52374394209356,Low_spent_Large_value_payments,365.64,2023-10-01
