Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x102d,89064.52,7256.04,5.0,3.0,1.0,1.0,Mortgage Loan,6.0,5.0,6.37,3.0,,648.36,30.57,30 Years and 3 Months,No,37.57,296.09411909412466,High_spent_Medium_value_payments,641.94,2024-01-01
CUS_0x1051,35022.22,2859.52,3.0,5.0,4.0,1.0,Student Loan,6.0,11.0,_,5.0,Good,1000.44,25.39,28 Years and 6 Months,No,21.21,259.34511343711983,Low_spent_Small_value_payments,295.39,2024-01-01
CUS_0x1269,42031.09,3762.59,2.0,1.0,8.0,3.0,"Not Specified, Debt Consolidation Loan, and Auto Loan",1.0,5.0,14.11,2.0,Good,83.55,24.07,17 Years and 3 Months,No,66.51,108.85585760646214,High_spent_Medium_value_payments,450.9,2024-01-01
CUS_0x1290,10455.88,729.32,6.0,5.0,12.0,3.0,"Personal Loan, Payday Loan, and Credit-Builder Loan",11.0,19.0,9.71,0.0,Good,83.16,29.46,23 Years and 3 Months,No,25.75,24.490504377507985,Low_spent_Medium_value_payments,302.69,2024-01-01
CUS_0x12d1,21384.94,1646.08,4.0,4.0,15.0,2.0,"Credit-Builder Loan, and Debt Consolidation Loan",24.0,15.0,14.37,9.0,Standard,691.53,24.88,27 Years and 0 Months,Yes,22.1,168.24549551002502,Low_spent_Medium_value_payments,254.27,2024-01-01
CUS_0x12d5,62320.56,5068.38,9.0,9.0,18.0,5.0,"Debt Consolidation Loan, Home Equity Loan, Auto Loan, Home Equity Loan, and Debt Consolidation Loan",23.0,15.0,17.24,15.0,,3589.56,38.34,1 Years and 11 Months,NM,171.35,171.51086339613434,High_spent_Small_value_payments,423.98,2024-01-01
CUS_0x133e,16626.25,1096.52,0.0,2.0,5.0,0.0,,13.0,7.0,6.39,0.0,Good,1113.26,25.31,22 Years and 10 Months,No,0.0,53.38619195442173,Low_spent_Small_value_payments,346.27,2024-01-01
CUS_0x1383,80206.64,6766.89,5.0,4.0,20.0,5.0,"Student Loan, Payday Loan, Not Specified, Payday Loan, and Payday Loan",11.0,16.0,7.0,6.0,Standard,1129.87,32.08,8 Years and 8 Months,Yes,260.42,522.977060264942,Low_spent_Medium_value_payments,173.29,2024-01-01
CUS_0x143c,18578.88,1325.11,1.0,3.0,1.0,,"Auto Loan, Credit-Builder Loan, and Auto Loan",15.0,12.0,11.87,5.0,Good,779.49,39.53,31 Years and 6 Months,NM,140.11,76.61359044009538,Low_spent_Small_value_payments,317.03,2024-01-01
CUS_0x14d0,48089.16,3902.43,10.0,8.0,18.0,5.0,"Auto Loan, Auto Loan, Auto Loan, Not Specified, and Home Equity Loan",59.0,19.0,18.09,9.0,Bad,2654.6,38.37,7 Years and 11 Months,Yes,192.74,61.602070272768145,High_spent_Large_value_payments,375.9,2024-01-01
CUS_0x150d,40085.46,3455.46,6.0,6.0,18.0,5.0,"Auto Loan, Student Loan, Payday Loan, Payday Loan, and Debt Consolidation Loan",45.0,12.0,8.97,12.0,Bad,2343.0,24.66,18 Years and 11 Months,Yes,142.11,215.538711452974,Low_spent_Small_value_payments,277.89,2024-01-01
CUS_0x1550,48996.08,3799.01,5.0,7.0,12.0,4.0,"Personal Loan, Credit-Builder Loan, Payday Loan, and Payday Loan",27.0,16.0,13.31,1.0,Standard,285.29,34.08,18 Years and 3 Months,Yes,135.68,238.83092179409192,High_spent_Small_value_payments,265.39,2024-01-01
CUS_0x1589,71282.14,5807.18,2.0,4.0,11.0,1.0,Home Equity Loan,9.0,4.0,5.98,5.0,Good,1440.78,36.61,32 Years and 11 Months,No,37.79,99.49426594228869,High_spent_Medium_value_payments,693.43,2024-01-01
CUS_0x1668,64980.72,5473.06,4.0,7.0,6.0,2.0,"Personal Loan, and Debt Consolidation Loan",7.0,1.0,0.78,3.0,,375.38,40.32,32 Years and 2 Months,No,88.45,158.1410967940986,,570.72,2024-01-01
CUS_0x167a,17064.1,1541.01,1.0,2.0,8.0,1.0,Credit-Builder Loan,16.0,,0.7,4.0,Good,858.33,27.92,20 Years and 3 Months,No,10.81,173.85488747859063,Low_spent_Small_value_payments,259.44,2024-01-01
CUS_0x1688,56400.18,4991.02,7.0,5.0,30.0,,"Credit-Builder Loan, and Personal Loan",27.0,11.0,13.84,6.0,Standard,2582.73,28.12,17 Years and 10 Months,Yes,56.78,199.86331959557631,High_spent_Medium_value_payments,492.45,2024-01-01
CUS_0x1718,29062.92,2318.91,6.0,3.0,8.0,1.0,Credit-Builder Loan,27.0,13.0,13.94,4.0,Standard,50.19,25.77,20 Years and 8 Months,Yes,14.52,150.33909132713754,High_spent_Small_value_payments,327.04,2024-01-01
CUS_0x1758,21787.63,1867.64,0.0,3.0,5.0,3.0,"Auto Loan, Personal Loan, and Not Specified",2.0,2.0,4.6,3.0,Good,998.07,27.69,29 Years and 10 Months,NM,36.9,206.3353930991251,Low_spent_Small_value_payments,233.53,2024-01-01
